"YTA","BEH","AGE","GALL","dod_n","nfg","nut","neg","nutcum","volfg","volut","voleg","volut_cum","Totvol","MAI","mh_fg","mh_ut","mh_eg","md_fg","md_ut","md_eg","bafg","baut","baeg","baut_cum","Totba","SI"
1,"Konv"," 7.0","0.0","52.0","2305.0","   0.0","2253.0","   0.0"," 24.76016"," 0.00000"," 24.76016"," 0.00000"," 24.76016","3.537165"," 79.77488","0"," 80.0"," 57.49711","0"," 57.0"," 6.18003","0.000000"," 6.180030"," 0.000000"," 6.18003","28.36"
1,"Konv"," 9.0","1.0"," 0.0","2253.0","1042.0","1211.0","1042.0"," 46.91480","17.97581"," 28.93899","17.97581"," 46.91480","5.212756"," 98.70156","95","102.0"," 73.85260","68"," 79.0","10.10753","3.959225"," 6.148302"," 3.959225","10.10753","28.19"
1,"Konv","12.0","0.0"," 0.0","1211.0","   0.0","1211.0","1042.0"," 57.58081"," 0.00000"," 57.58081","17.97581"," 75.55662","6.296385","125.88948","0","126.0","103.14516","0","103.0","10.39131","0.000000","10.391314"," 3.959225","14.35054","27.49"
1,"Konv","14.0","0.0"," 0.0","1211.0","   0.0","1211.0","1042.0"," 81.42197"," 0.00000"," 81.42197","17.97581"," 99.39778","7.099842","141.07375","0","141.0","116.69355","0","117.0","13.30844","0.000000","13.308444"," 3.959225","17.26767","27.26"
1,"Konv","15.0","1.0"," 0.0","1211.0"," 410.0"," 801.0","1452.0"," 93.34735","23.28542"," 70.06194","41.26123","111.32316","7.421544","145.69828","138","150.0","123.11828","108","131.0","14.83805","3.861510","10.976543"," 7.820735","18.79728","27.37"
1,"Konv","17.0","0.0"," 0.0"," 801.0","   0.0"," 801.0","1452.0"," 89.09733"," 0.00000"," 89.09733","41.26123","130.35855","7.668150","161.32631","0","161.0","143.02439","0","143.0","13.12851","0.000000","13.128513"," 7.820735","20.94925","27.03"
1,"Konv","19.0","0.0"," 0.0"," 794.0","   0.0"," 794.0","1452.0","100.95113"," 0.00000","100.95113","41.26123","142.21236","7.484861","169.93584","0","170.0","149.14754","0","149.0","14.17557","0.000000","14.175568"," 7.820735","21.99630","26.67"
1,"Konv","22.0","1.0"," 0.0"," 794.0"," 273.0"," 521.0","1725.0","126.70535","35.25660"," 91.44874","76.51783","167.96657","7.634844","183.80883","177","187.0","161.18033","146","169.0","16.57020","4.695433","11.874770","12.516169","24.39094","26.68"
2,"Svag"," 7.0","0.0","85.0","2233.0","  0.0","2148.0","   0.0"," 21.02132"," 0.000000"," 21.02132"," 0.000000"," 21.02132","3.003046"," 78.03425","0"," 78.0"," 54.68182","0"," 55.0"," 5.323777","0.000000"," 5.323777","0.000000"," 5.323777","28.07"
2,"Svag"," 9.0","1.0"," 0.0","2149.0","534.0","1615.0"," 534.0"," 40.43095"," 6.742809"," 33.68815"," 6.742809"," 40.43095","4.492328"," 96.65765","89"," 99.0"," 70.57879","59"," 74.0"," 8.827206","1.548528"," 7.278677","1.548528"," 8.827206","27.83"
2,"Svag","12.0","1.0"," 0.0","1615.0","534.0","1081.0","1068.0"," 61.36328","15.553421"," 45.80986","22.296229"," 68.10609","5.675508","120.79436","115","124.0"," 93.24597","83"," 98.0","11.365944","2.977380"," 8.388564","4.525908","12.914472","27.28"
2,"Svag","14.0","0.0"," 0.0","1081.0","  0.0","1081.0","1068.0"," 66.32565"," 0.000000"," 66.32565","22.296229"," 88.62187","6.330134","139.04582","0","139.0","112.50000","0","112.0","10.973858","0.000000","10.973858","4.525908","15.499766","27.07"
2,"Svag","17.0","0.0"," 0.0","1081.0","  0.0","1081.0","1068.0"," 93.70231"," 0.000000"," 93.70231","22.296229","115.99854","6.823443","153.86128","0","154.0","127.92169","0","128.0","14.206426","0.000000","14.206426","4.525908","18.732334","26.37"
2,"Svag","19.0","0.0"," 0.0","1055.0","  0.0","1055.0","1068.0","106.00154"," 0.000000","106.00154","22.296229","128.29777","6.752514","163.17315","0","163.0","134.30247","0","134.0","15.243019","0.000000","15.243019","4.525908","19.768927","26.03"
2,"Svag","22.0","1.0"," 0.0","1054.0","299.0"," 755.0","1367.0","131.58391","27.028292","104.55562","49.324521","153.88014","6.994552","176.45034","168","180.0","144.09568","125","152.0","17.577404","3.731000","13.846403","8.256909","22.103312","26.05"
3,"Stark"," 7.0","0.0","94.0","2325.0","   0.0","2231.0","   0.0","25.11094"," 0.0000000","25.11094"," 0.00000"," 25.11094","3.587277"," 80.13849","0"," 80.0"," 58.11747","0"," 58.0"," 6.251954","0.00000000"," 6.251954"," 0.000000"," 6.251954","28.36"
3,"Stark"," 9.0","1.0"," 0.0","2224.0","1411.0"," 813.0","1411.0","47.61871","27.4365886","20.18212","27.43659"," 47.61871","5.290968"," 99.02336","97","102.0"," 74.54985","71"," 80.0","10.213512","5.95622110"," 4.257291"," 5.956221","10.213512","28.19"
3,"Stark","12.0","0.0"," 0.0"," 813.0","  13.0"," 800.0","1424.0","41.26940"," 0.4791332","40.79027","27.91572"," 68.70599","5.725499","126.79605","97","127.0","105.57025","70","106.0"," 7.380558","0.08365968"," 7.296898"," 6.039881","13.336779","27.60"
3,"Stark","14.0","0.0"," 0.0"," 800.0","   0.0"," 800.0","1424.0","58.95023"," 0.0000000","58.95023","27.91572"," 86.86595","6.204711","143.43131","0","143.0","121.51261","0","122.0"," 9.531989","0.00000000"," 9.531989"," 6.039881","15.571870","27.46"
3,"Stark","17.0","0.0"," 0.0"," 800.0","   0.0"," 800.0","1424.0","81.73137"," 0.0000000","81.73137","27.91572","109.64709","6.449829","158.25032","0","158.0","137.05042","0","137.0","12.141596","0.00000000","12.141596"," 6.039881","18.181477","26.75"
3,"Stark","19.0","1.0"," 0.0"," 800.0"," 323.0"," 477.0","1747.0","94.31323","30.3924338","63.92080","58.30816","122.22896","6.433103","167.18430","160","172.0","143.48739","129","153.0","13.324697","4.38868671"," 8.936010","10.428567","19.364578","26.85"
3,"Stark","22.0","0.0"," 0.0"," 477.0","   0.0"," 477.0","1747.0","82.60376"," 0.0000000","82.60376","58.30816","140.91191","6.405087","186.81579","0","187.0","168.08451","0","168.0","10.738789","0.00000000","10.738789","10.428567","21.167357","26.68"
4,"Svag"," 7.0","0.0","34.0","2332.0","  0.0","2298.0","   0.0"," 28.29235"," 0.00000"," 28.29235"," 0.00000"," 28.29235","4.041764"," 82.0807","0"," 82.0"," 61.02632","0"," 61.0"," 6.993321","0.000000"," 6.993321","0.000000"," 6.993321","28.65"
4,"Svag"," 9.0","1.0"," 7.0","2306.0","706.0","1593.0"," 706.0"," 51.57762","13.56152"," 38.01610","13.56152"," 51.57762","5.730847","100.4428","97","102.0"," 76.61988","71"," 79.0","11.022124","2.948199"," 8.073925","2.948199","11.022124","28.19"
4,"Svag","12.0","1.0"," 0.0","1600.0","585.0","1015.0","1291.0"," 69.20002","18.65007"," 50.54995","32.21159"," 82.76154","6.896795","123.6126","117","127.0"," 98.71849","87","106.0","12.618915","3.536688"," 9.082227","6.484887","15.567114","27.60"
4,"Svag","14.0","0.0"," 0.0","1015.0","  0.0","1015.0","1291.0"," 71.35397"," 0.00000"," 71.35397","32.21159","103.56556","7.397540","142.5079","0","143.0","119.41060","0","119.0","11.613996","0.000000","11.613996","6.484887","18.098883","27.46"
